Book_Name,Author,5_star,Ratings,Reviews
The Good Soldier,Ford Madox Ford,3.69,"25,376","1,901","6,743","8,412","6,808","2,467",946
Anne of the Island,L.M. Montgomery,4.26,"160,501","6,417","77,797","53,949","23,301","3,712","1,742"
Life and Fate,Vasily Grossman,4.44,"11,455","1,322","6,993","3,027","1,016",282,137
Last Exit to Brooklyn,Hubert Selby Jr.,3.92,"25,830","1,425","8,604","9,661","5,279","1,570",716
Lust for Life,Irving Stone,4.24,"26,762","1,723","13,239","8,690","3,473",862,498
Collected Poems,Edna St. Vincent Millay,4.24,"8,398",178,"4,063","2,702","1,309",246,78
A Son of the Circus,John Irving,3.65,"20,013",745,"4,412","7,152","6,111","1,760",578
Why I Am Not a Christian and Other Essays on Religion and Related Subjects,Bertrand Russell,4.01,"20,231",792,"7,551","7,478","3,663","1,011",528
The Golden Compass,Philip Pullman,4.01,"1,455,747","26,302","593,536","464,235","268,739","81,788","47,449"
Slouching Towards Bethlehem,Joan Didion,4.19,"57,080","5,083","24,537","21,865","8,433","1,669",576
Emily of New Moon,L.M. Montgomery,4.11,"47,781","2,421","19,796","16,535","8,990","1,793",667
The Women's Room,Marilyn French,3.97,"8,536",671,"2,921","3,200","1,818",463,134
Survivor,Chuck Palahniuk,3.93,"114,507","4,000","35,142","45,139","26,521","6,212","1,493"
"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories",Nancy E. Turner,4.35,"71,008","11,038","37,425","24,149","7,053","1,492",889
Collected Poems,W.H. Auden,4.27,"5,975",94,"2,919","2,016",838,146,56
Imajica,Clive Barker,4.17,"22,313","1,033","10,594","6,790","3,474","1,066",389
Paradise,Toni Morrison,3.84,"25,659","1,428","7,920","9,018","6,198","1,732",791
Factotum,Charles Bukowski,3.93,"65,904","2,352","20,024","26,924","14,556","3,348","1,052"
Feet of Clay,Terry Pratchett,4.30,"78,978","2,168","37,277","30,327","9,940","1,053",381
The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,4.25,"5,074",640,"2,501","1,650",694,168,61
Cat's Eye,Margaret Atwood,3.94,"65,333","4,014","20,406","25,972","14,654","3,229","1,072"
Another Roadside Attraction,Tom Robbins,3.98,"34,034","1,035","11,547","12,929","7,452","1,639",467
Pedagogy of the Oppressed,Paulo Freire,4.30,"31,860","2,106","16,918","9,452","3,978","1,047",465
