Book_Name,Author,5_star,Ratings,Reviews
The Good Earth,Pearl S. Buck,4.00,"241,424","11,069","91,323","84,166","46,273","13,540","6,122"
All Quiet on the Western Front,Erich Maria Remarque,4.04,"418,626","14,801","169,642","140,316","75,615","22,702","10,351"
The Sun Also Rises,Ernest Hemingway,3.80,"415,546","16,429","125,193","143,897","99,103","34,086","13,267"
The Outsiders,S.E. Hinton,4.12,"1,203,831","42,071","518,489","396,620","217,534","53,912","17,276"
Ulysses,James Joyce,3.75,"121,816","8,575","45,528","30,989","24,076","11,493","9,730"
On the Road,Jack Kerouac,3.62,"389,112","17,883","101,802","121,947","99,998","45,180","20,185"
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.23,"1,722,291","39,695","874,156","505,078","238,087","68,639","36,331"
The Lorax,Dr. Seuss,4.34,"327,238","4,756","192,179","77,581","40,558","10,780","6,140"
Dune,Frank Herbert,4.26,"1,180,659","51,609","606,503","356,564","152,534","43,283","21,775"
Charlie and the Chocolate Factory,Roald Dahl,4.15,"796,467","14,760","349,551","270,786","136,906","27,001","12,223"
The Master and Margarita,Mikhail Bulgakov,4.30,"312,801","17,111","170,143","86,593","39,245","11,953","4,867"
The Pillars of the Earth,Ken Follett,4.33,"725,926","35,385","402,395","209,973","77,914","22,723","12,921"
Where the Wild Things Are,Maurice Sendak,4.24,"955,914","13,299","520,319","235,383","132,017","41,371","26,824"
A Prayer for Owen Meany,John Irving,4.24,"309,437","15,492","155,626","94,883","41,303","11,932","5,693"
Rebecca,Daphne du Maurier,4.24,"575,555","34,907","274,171","196,842","79,776","17,680","7,086"
The Secret Garden,Frances Hodgson Burnett,4.15,"1,085,613","25,150","474,725","368,652","187,636","39,372","15,228"
The Unbearable Lightness of Being,Milan Kundera,4.11,"421,772","20,945","181,596","142,285","68,954","20,944","7,993"
Siddhartha,Hermann Hesse,4.06,"711,538","23,798","293,882","233,811","130,223","38,270","15,352"
The Complete Sherlock Holmes,Arthur Conan Doyle,4.50,"192,795","4,672","119,573","54,975","14,754","2,206","1,287"
The Stand,Stephen King,4.34,"715,945","26,761","398,955","203,971","83,090","20,658","9,271"
The Name of the Rose,Umberto Eco,4.13,"345,021","11,558","151,536","117,703","53,345","15,279","7,158"
Love in the Time of Cholera,Gabriel García Márquez,3.93,"475,877","25,035","172,858","161,476","93,041","33,339","15,163"
The Metamorphosis,Franz Kafka,3.85,"897,251","30,397","282,393","317,040","203,998","64,306","29,514"
The Color Purple,Alice Walker,4.25,"626,494","21,159","304,004","212,327","83,675","18,514","7,974"
The Alchemist,Paulo Coelho,3.90,"2,748,439","106,793","1,075,322","794,483","535,007","218,003","125,624"
Atlas Shrugged,Ayn Rand,3.69,"378,703","19,228","136,762","99,960","68,141","35,026","38,814"
The Poisonwood Bible,Barbara Kingsolver,4.08,"712,789","25,533","319,147","220,835","110,425","38,608","23,774"
Green Eggs and Ham,Dr. Seuss,4.30,"729,485","10,822","414,725","176,693","97,588","25,404","15,075"
In Cold Blood,Truman Capote,4.08,"616,247","21,212","251,509","221,036","102,303","26,175","15,224"
Anne of Green Gables,L.M. Montgomery,4.30,"907,049","33,558","488,715","257,179","117,300","29,111","14,744"
A Tree Grows in Brooklyn,Betty  Smith,4.29,"438,854","24,653","221,769","143,478","56,405","12,261","4,941"
The Bell Jar,Sylvia Plath,4.04,"809,796","41,128","303,723","300,592","153,852","38,584","13,045"
The Return of the King,J.R.R. Tolkien,4.55,"818,654","15,215","548,742","194,306","60,030","11,244","4,332"
Night,Elie Wiesel,4.36,"1,157,510","34,726","641,455","348,047","126,963","27,509","13,536"
Watership Down,Richard  Adams,4.08,"465,415","16,152","203,143","148,349","75,298","23,200","15,425"
The Old Man and the Sea,Ernest Hemingway,3.80,"1,045,565","34,227","334,439","340,661","238,379","86,594","45,492"
The Two Towers,J.R.R. Tolkien,4.47,"876,851","16,054","537,492","240,258","79,256","14,679","5,166"
The Giving Tree,Shel Silverstein,4.38,"1,059,216","20,865","657,147","231,800","108,897","33,462","27,910"
Ender’s Game,Orson Scott Card,4.31,"1,298,381","47,208","696,377","388,446","150,749","40,236","22,573"
The Chronicles of Narnia,C.S. Lewis,4.27,"611,272","11,821","304,995","196,137","86,229","17,734","6,177"
A Wrinkle in Time,Madeleine L'Engle,3.99,"1,145,427","37,468","459,004","357,053","221,964","70,772","36,634"
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,"311,953","5,974","180,656","85,397","33,549","8,493","3,858"
Charlotte's Web,E.B. White,4.19,"1,708,652","21,856","826,319","512,615","273,721","62,543","33,454"
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,"3,543,636","69,951","2,102,547","969,009","385,280","66,455","20,345"
Memoirs of a Geisha,Arthur Golden,4.14,"1,917,543","33,967","819,879","678,866","318,296","71,245","29,257"
East of Eden,John Steinbeck,4.40,"498,412","25,288","292,360","136,117","51,686","12,580","5,669"
Lolita,Vladimir Nabokov,3.88,"785,036","33,997","275,806","257,581","164,722","56,125","30,802"
The Handmaid’s Tale,Margaret Atwood,4.13,"1,865,775","87,941","802,474","659,021","286,614","79,073","38,593"
The Stranger,Albert Camus,4.01,"938,553","37,432","344,823","344,384","182,530","49,035","17,781"
The Fellowship of the Ring,J.R.R. Tolkien,4.38,"2,666,086","33,251","1,586,787","687,230","268,477","72,977","50,615"
Lord of the Flies,William Golding,3.69,"2,709,286","49,363","744,257","913,128","667,094","244,717","140,090"
The Giver,Lois Lowry,4.13,"2,255,475","74,303","993,279","741,501","376,142","100,355","44,198"
One Flew Over the Cuckoo's Nest,Ken Kesey,4.20,"700,213","14,115","309,949","256,924","103,549","21,786","8,005"
"Will You Please Be Quiet, Please?",Raymond Carver,4.22,"16,502","1,105","7,427","6,076","2,307",526,166
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,"1,290,800","34,920","550,278","433,577","212,977","62,012","31,956"
Coming Up for Air,George Orwell,3.79,"15,912","1,237","3,719","6,524","4,535",920,214
The Waning of the Middle Ages,Johan Huizinga,4.03,"3,843",202,"1,467","1,369",735,200,72
The Midwife's Apprentice,Karen Cushman,3.73,"41,557","2,011","10,233","14,933","12,220","3,114","1,057"
The Other Side of Midnight,Sidney Sheldon,3.94,"46,541","1,261","15,143","16,935","11,628","2,364",471
The Train Was on Time,Heinrich Böll,3.86,"2,959",281,786,"1,177",827,145,24
There's a Wocket in My Pocket!,Dr. Seuss,4.06,"32,867",918,"14,488","8,800","7,180","1,778",621
The Mammy,Brendan O'Carroll,4.09,"5,587",667,"2,186","2,071","1,045",225,60
Of Other Worlds: Essays and Stories,C.S. Lewis,4.16,"1,248",104,487,507,226,22,6
Tvrđava,Meša Selimović,4.68,"4,918",161,"3,723",906,228,42,19
Dune Messiah,Frank Herbert,3.89,"230,287","10,977","63,537","94,363","58,003","12,110","2,274"
"Collected Works, Volume 3: The Development of Capitalism in Russia",Vladimir Lenin,3.73,81,4,27,21,23,4,6
Εξορία,Pavlos Matesis,5.00,5,0,5,0,0,0,0
The Room,Hubert Selby Jr.,3.70,"6,101",252,"1,886","1,876","1,382",543,414
Ex Ponto,Ivo Andrić,4.32,803,22,444,216,104,32,7
Wingmen,Ensan Case,4.39,293,55,169,84,28,8,4
Handcuff Secrets,Harry Houdini,4.39,147,8,103,16,14,11,3
Gig: Americans Talk about Their Jobs,John Bowe,4.12,"1,364",154,539,511,262,44,8
El coronel no tiene quien le escriba,Gabriel García Márquez,3.79,"45,772","2,613","11,152","18,043","12,966","2,874",737
Liebelei / Reigen,Arthur Schnitzler,3.63,295,11,65,102,92,25,11
Fear is the Key,Alistair MacLean,3.94,"4,358",142,"1,296","1,728","1,140",170,24
A Whisper of Wings,Paul Kidd,3.93,54,4,23,12,12,6,1
Rita Hayworth and Shawshank Redemption,Stephen King,4.52,"35,312","2,581","21,778","10,501","2,630",341,62
Alice the Brave,Phyllis Reynolds Naylor,3.92,"1,773",79,532,670,485,73,13
Summer of '49,David Halberstam,4.10,"9,067",317,"3,610","3,448","1,504",292,213
Kassandra,Christa Wolf,3.86,"3,331",357,"1,093","1,147",723,259,109
Piecas dienas,Anšlavs Eglītis,4.27,44,1,18,21,4,1,0
Undlas Main Ajnabi / اندلس میں اجنبی,Mustansar Hussain Tarar,4.18,481,33,240,140,66,18,17
"Monetary theory; Inflation, interest, and growth in the world economy",Robert A. Mundell,4.38,8,0,4,3,1,0,0
"Shogun, Part 2",James Clavell,4.63,"5,106",110,"3,613","1,172",278,31,12
Animals,John Skipp,3.80,431,45,119,153,120,33,6
Twelve Angry Men,Reginald Rose,4.07,"29,633","1,714","11,515","10,951","5,322","1,338",507
Burger's Daughter,Nadine Gordimer,3.52,"2,052",213,410,687,609,258,88
Siapa Pembunuh Palomino Molero?,Mario Vargas Llosa,3.56,"6,199",568,886,"2,423","2,271",513,106
Don Camillo della Bassa: Gente così - Lo spumarino pallido,Giovannino Guareschi,4.32,72,4,33,29,10,0,0
The Extended Phenotype: The Long Reach of the Gene,Richard Dawkins,4.11,"8,986",210,"3,819","3,074","1,521",386,186
More Than Human,Theodore Sturgeon,3.95,"17,417","1,023","5,842","6,551","3,646","1,008",370
The Puritans,Jack  Cavanaugh,4.15,806,69,347,288,129,27,15
A Game Of Hide And Seek,Elizabeth Taylor,3.79,"1,104",167,268,454,291,68,23
If Tomorrow Comes,Sidney Sheldon,4.06,"65,216","2,542","24,670","24,025","13,215","2,590",716
The Brethren,John Grisham,3.75,"92,228","2,240","22,555","33,632","28,404","6,149","1,488"
Insciallah,Oriana Fallaci,4.01,"1,278",79,484,461,232,68,33
The Smile at the Foot of the Ladder,Henry Miller,3.60,"1,819",213,396,575,624,170,54
There is a River: The Story of Edgar Cayce,Thomas Joseph Sugrue,4.25,"1,999",111,987,628,298,66,20
Making History,Stephen Fry,3.94,"10,682",707,"3,167","4,428","2,455",503,129
جدد حياتك,محمد الغزالي,4.21,"11,116","1,211","5,407","3,510","1,567",410,222
In-House Weddings,Bohumil Hrabal,4.14,315,28,127,121,53,11,3
Queens' Play,Dorothy Dunnett,4.46,"4,432",326,"2,665","1,272",383,79,33
Nabokov's Pale Fire: The Magic of Artistic Discovery,Brian Boyd,4.27,258,28,113,107,33,4,1
Birds of Prey,Wilbur Smith,4.22,"11,991",356,"5,332","4,413","1,852",316,78
Madouc,Jack Vance,4.17,"2,532",131,"1,062",939,437,77,17
The Kingdom of Matthias: A Story of Sex and Salvation in 19th-Century America,Paul E. Johnson,3.66,828,67,182,305,241,76,24
"Asphodel, That Greeny Flower & Other Love Poems",William Carlos Williams,4.05,126,14,48,47,23,5,3
Ishi in Two Worlds: A Biography of the Last Wild Indian in North America,Theodora Kroeber,4.08,"1,389",144,501,566,261,52,9
"De Uitvreter, Titaantjes, Dichtertje, Mene Tekel",Nescio,4.03,"2,389",106,910,866,430,141,42
Midnight Warrior,Iris Johansen,3.89,"2,241",81,701,783,596,125,36
The Bannonbridge Musicians,Raymond Fraser,4.33,9,4,4,4,1,0,0
Die Strudlhofstiege oder Melzer und die Tiefe der Jahre,Heimito von Doderer,3.97,325,32,146,86,49,26,18
Holy Terror: Andy Warhol Close Up,Bob Colacello,3.98,671,50,224,247,166,29,5
Mary Anne,Daphne du Maurier,3.41,"2,334",273,347,710,895,318,64
The Ka of Gifford Hillary,Dennis Wheatley,3.75,385,33,101,135,112,24,13
Ποιήματα 1978-1987,Έκτωρ Κακναβάτος,5.00,3,0,3,0,0,0,0
Terra Incognita: Travels in Antarctica,Sara Wheeler,3.85,"1,941",138,620,656,481,130,54
Midwives,Chris Bohjalian,3.99,"157,080","4,764","49,241","66,023","34,440","5,913","1,463"
No Time to Say Goodbye: Surviving the Suicide of a Loved One,Carla Fine,4.23,837,109,387,297,119,23,11
Ways of Worldmaking,Nelson Goodman,3.77,272,16,67,105,73,25,2
The Outsider,Colin Wilson,4.04,"4,064",471,"1,583","1,450",744,201,86
The Universe Story: From the Primordial Flaring Forth to the Ecozoic Era--A Celebration of the Unfolding of the Cosmos,Brian Swimme,4.26,237,24,131,61,30,6,9
"The Last Lion: Winston Spencer Churchill: Visions of Glory, 1874-1932",William Manchester,4.32,"14,711",663,"8,434","3,867","1,494",471,445
Democracy,Joan Didion,3.84,"3,102",338,852,"1,185",831,194,40
Vector Prime,R.A. Salvatore,3.83,"15,182",502,"4,632","5,229","3,831","1,026",464
Beerholms Vorstellung,Daniel Kehlmann,3.67,570,39,117,216,182,44,11
A Murmur in the Trees,Emily Dickinson,4.26,58,9,28,18,11,1,0
A House and Its Head,Ivy Compton-Burnett,3.48,497,104,76,180,163,65,13
Polar Bears Past Bedtime,Mary Pope Osborne,3.92,"9,426",353,"3,401","2,753","2,540",571,161
Hear the Wind Sing,Haruki Murakami,3.58,"24,859","2,320","4,028","9,105","9,273","2,110",343
To Dance with Kings,Rosalind Laker,4.10,"3,472",222,"1,464","1,157",648,143,60
The World Atlas of Wine,Hugh Johnson,4.46,"1,226",45,725,372,109,10,10
Hellados,Nodar Dumbadze,4.54,"1,128",21,750,254,110,12,2
Climbing Mount Improbable,Richard Dawkins,4.10,"9,232",197,"3,800","3,272","1,603",378,179
Noninterference,Harry Turtledove,3.66,164,14,31,62,58,11,2
Eagle in the Snow,Wallace Breem,4.12,"2,551",186,"1,069",917,415,109,41
The Discovery of Freedom: Man's Struggle Against Authority,Rose Wilder Lane,4.14,262,21,112,94,41,10,5
"Amerika, Der Prozeß & Das Schloß",Franz Kafka,4.24,118,2,60,33,19,5,1
The Death of a President: November 1963,William Manchester,4.24,"4,216",189,"2,052","1,380",596,125,63
"The Age of Extremes, 1914-1991",Eric J. Hobsbawm,4.28,"6,426",376,"3,060","2,376",776,165,49
Iceland's Bell,Halldór Laxness,3.88,"2,038",178,590,795,489,141,23
"Hello Summer, Goodbye",Michael G. Coney,3.98,243,36,90,85,45,18,5
Santiago: A Myth of the Far Future,Mike Resnick,4.08,"1,613",145,595,631,316,59,12
A New World: An Epic of Colonial America,Arthur Quinn,4.19,78,11,33,29,14,2,0
P.S. Longer Letter Later,Paula Danziger,3.80,"3,223",315,918,"1,064",961,224,56
"Bill Bergson, Master Detective",Astrid Lindgren,4.21,"1,889",80,856,649,322,51,11
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,4.20,"52,288",709,"25,920","14,613","8,923","2,019",813
The Black Horse Tavern,Raymond Fraser,4.33,6,2,3,2,1,0,0
Judge On Trial,Ivan Klíma,4.00,213,19,76,76,46,14,1
100 Questions About God,J. Edwin Orr,4.80,5,0,4,1,0,0,0
"Rue Ordener, Rue Labat",Sarah Kofman,3.83,269,17,67,108,77,14,3
The Case of Comrade Tulayev,Victor Serge,4.11,"1,314",156,534,479,230,53,18
Daddy,Loup Durand,4.18,832,109,388,270,127,30,17
Desperate Characters,Paula Fox,3.56,"7,458",941,"1,452","2,667","2,224",860,255
Something Wonderful,Judith McNaught,4.31,"28,776","1,258","14,853","9,273","3,673",734,243
The Bully,Jan Needle,3.40,50,3,11,12,17,6,4
Ronggeng Dukuh Paruk,Ahmad Tohari,4.22,"6,017",711,"2,673","2,307",801,165,71
Cockpit,Jerzy Kosiński,3.67,"1,250",72,272,464,375,110,29
Silences,Tillie Olsen,4.22,479,74,212,178,75,12,2
Híbýli vindanna,Böðvar Guðmundsson,4.19,232,10,88,111,24,6,3
Una storia semplice,Leonardo Sciascia,3.82,"5,305",329,"1,309","2,192","1,435",303,66
The Animal Family,Randall Jarrell,4.19,"1,378",238,671,400,226,59,22
Barren Ground,Ellen Glasgow,3.72,296,43,63,131,64,32,6
Tenderness,Robert Cormier,3.69,"2,836",357,764,918,777,279,98
Walt Disney's Story Land,Frances Saldinger,4.10,245,27,99,91,40,10,5
Pilgrim,Timothy Findley,3.80,"3,574",266,"1,004","1,328",868,269,105
The Fox Woman,Kij Johnson,3.88,"1,688",193,539,603,396,109,41
The Lost Honor of Katharina Blum,Heinrich Böll,3.69,"14,264",916,"2,930","5,672","4,232","1,131",299
Lífsins tré,Böðvar Guðmundsson,4.18,131,1,40,78,11,1,1
Lost in the Cosmos: The Last Self-Help Book,Walker Percy,4.06,"2,547",275,"1,033",874,447,140,53
Aparição,Vergílio Ferreira,3.67,"5,143",159,"1,312","1,790","1,319",480,242
Oliver and Company,Walt Disney Company,3.85,171,7,60,46,49,11,5
Wizard of the Upper Amazon,Frank Bruce Lamb,4.18,327,37,147,111,54,11,4
Platoon Leader: A Memoir of Command in Combat,James R. McDonough,4.19,"1,961",81,860,717,303,64,17
The Fires of Jubilee: Nat Turner's Fierce Rebellion,Stephen B. Oates,3.74,542,52,125,219,146,38,14
El violí d'Auschwitz,Maria Àngels Anglada,3.64,"4,759",574,922,"1,776","1,561",414,86
Watch for Me on the Mountain,Forrest Carter,4.23,529,51,240,192,81,12,4
That Awful Mess on the Via Merulana,Carlo Emilio Gadda,3.64,"2,840",271,805,817,738,337,143
The Celtic Book of Days: A Guide to Celtic Spirituality and Wisdom,Caitlín Matthews,3.69,80,12,18,31,21,8,2
Ο άνθρωπος που έγινε Θεός,Gerald Messadié,4.05,270,20,97,112,42,15,4
Conquered City,Victor Serge,3.86,309,42,79,133,78,12,7
Garments of Skin,K.D. McMahon,4.25,4,1,2,1,1,0,0
Your Blues Ain't Like Mine,Bebe Moore Campbell,4.22,"7,391",180,"3,436","2,495","1,198",187,75
The Fiftieth Gate: A Journey Through Memory,Mark Raphael  Baker,3.08,504,53,61,119,172,104,48
"Holidays in Hell: In Which Our Intrepid Reporter Travels to the World's Worst Places and Asks, ""What's Funny about This?""",P.J. O'Rourke,3.92,"3,813",171,"1,220","1,444",857,223,69
Thunderhead,Douglas Preston,4.12,"28,823","1,049","11,116","11,311","5,324",812,260
Robin Hood,Walt Disney Company,4.38,"2,199",33,"1,335",463,324,55,22
This Is the Way the World Ends,James K. Morrow,3.73,"1,745",123,455,630,448,151,61
Kürk Mantolu Madonna,Sabahattin Ali,4.43,"52,791","3,577","30,886","15,290","5,145","1,128",342
Relativism: Feet Firmly Planted in Mid-Air,Francis J. Beckwith,4.26,580,54,276,206,76,14,8
Adrift: Seventy-Six Days Lost at Sea,Steven Callahan,4.13,"18,233","1,041","7,274","7,025","3,159",591,184
Labor and Monopoly Capital: The Degradation of Work in the Twentieth Century,Harry Braverman,4.27,781,44,399,246,99,22,15
Reach for Tomorrow,Arthur C. Clarke,3.86,"1,194",54,302,480,358,45,9
Britannia Mews,Margery Sharp,4.04,327,53,102,148,67,7,3
The Seer and the Sword,Victoria Hanley,4.12,"10,591",544,"4,727","3,282","1,930",458,194
The Minotaur Takes a Cigarette Break,Steven Sherrill,3.76,"4,163",562,965,"1,728","1,043",350,77
Five on Kirrin Island Again,Enid Blyton,4.04,"13,728",298,"5,096","4,749","3,279",500,104
Jade Island,Elizabeth Lowell,4.09,"4,688",118,"1,749","1,796",969,147,27
Houtekiet,Gerard Walschap,3.37,697,23,89,212,283,94,19
A Princess in Berlin,Arthur R.G. Solmssen,3.94,593,38,180,246,128,28,11
September,Rosamunde Pilcher,4.15,"20,773",945,"8,485","7,790","3,758",583,157
Robohnya Surau Kami,A.A. Navis,4.00,"3,150",278,"1,099","1,182",699,123,47
The Return of Moriarty,John  Gardner,3.86,921,76,304,308,212,69,28
A Civil Campaign,Lois McMaster Bujold,4.41,"18,305",930,"10,211","5,846","1,846",282,120
Letters to a Devastated Christian,Gene Edwards,4.18,85,10,40,25,16,3,1
The Adventures of the Great Mouse Detective,Walt Disney Company,3.96,132,6,51,35,39,4,3
"The Secret Life of Plants: A Fascinating Account of the Physical, Emotional and Spiritual Relations Between Plants and Man",Peter Tompkins,4.01,"2,757",282,"1,165",838,492,150,112
Tara,Lesley Pearse,4.35,"2,045",60,"1,123",613,237,48,24
"Standing at Armageddon: The United States, 1877-1919",Nell Irvin Painter,3.88,317,29,80,143,71,22,1
The Unwilling Warlord,Lawrence Watt-Evans,3.96,"1,047",36,288,469,252,36,2
"So Long, See You Tomorrow",William Maxwell,3.92,"11,112","1,650","3,498","4,230","2,533",680,171
The Night Train at Deoli and Other Stories,Ruskin Bond,4.21,"4,744",254,"2,055","1,859",667,101,62
"On the Way Home: The Diary of a Trip from South Dakota to Mansfield, Missouri, in 1894",Laura Ingalls Wilder,4.08,"9,862",316,"4,126","2,991","2,219",422,104
Crimson Roses,Grace Livingston Hill,4.24,820,66,407,248,126,35,4
A Stranger at Green Knowe,Lucy M. Boston,3.96,"1,089",89,364,388,277,47,13
The Life and Adventures of Santa Claus,L. Frank Baum,3.93,"5,805",952,"1,840","2,140","1,458",287,80
Stronghold,Melanie Rawn,4.04,"11,829",86,"4,560","4,041","2,496",552,180
The Little Town Where Time Stood Still and Cutting It Short,Bohumil Hrabal,3.93,"1,162",120,366,447,270,59,20
He Is There and He Is Not Silent,Francis A. Schaeffer,4.24,"1,919",149,901,695,231,60,32
The Idea of Perfection,Kate Grenville,3.65,"3,347",352,730,"1,247",947,315,108
Operation Chaos,Poul Anderson,3.81,904,81,261,317,236,71,19
Παραμύθι χωρίς όνομα,Penelope Delta,4.16,"1,776",70,771,597,338,58,12
لا مذكرات,André Malraux,3.73,283,40,75,104,69,23,12
Five Go Adventuring Again,Enid Blyton,4.05,"18,388",532,"6,923","6,463","4,217",656,129
The Simpsons Forever!: A Complete Guide to Our Favorite Family...Continued,Matt Groening,4.10,776,18,329,255,150,28,14
Captain Nemo's Library,Per Olov Enquist,3.69,831,63,192,310,232,74,23
დავით აღმაშენებელი. წიგნი I - II,Konstantine Gamsakhurdia,4.56,223,9,164,32,19,4,4
The Origin,Irving Stone,4.10,"1,917",101,734,735,375,56,17
Montauk,Max Frisch,3.82,"1,968",122,539,740,514,136,39
Caliban's Hour,Tad Williams,3.51,"1,111",68,195,350,420,119,27
The Mask of Command,John Keegan,4.12,"2,656",86,"1,024","1,048",489,74,21
Gates of Fire,Steven Pressfield,4.40,"35,522","2,512","20,438","10,344","3,585",809,346
Josefina's Surprise: A Christmas Story,Valerie Tripp,3.95,"2,331",64,804,744,665,100,18
Pericles of Athens and the Birth of Democracy,Donald Kagan,3.93,272,19,76,120,61,10,5
Swords Against Death,Fritz Leiber,4.04,"6,941",313,"2,309","2,924","1,460",201,47
Ordinary People,Judith Guest,3.92,"20,651","1,237","6,431","7,975","4,758","1,162",325
Nine Innings: The Anatomy of a Baseball Game,Daniel Okrent,4.04,"1,178",67,431,456,214,61,16
Our Trees Still Grow In Dehra,Ruskin Bond,4.23,"1,839",115,803,723,258,35,20
"If You Want to Write: A Book about Art, Independence and Spirit",Brenda Ueland,4.12,"8,123",735,"3,708","2,416","1,436",396,167
The Man Born to Be King: A Play-Cycle on the Life of Our Lord and Saviour Jesus Christ,Dorothy L. Sayers,4.50,559,107,356,142,49,11,1
"On Lies, Secrets, and Silence. Selected Prose 1966-1978",Adrienne Rich,4.34,"1,054",72,542,371,108,28,5
L'anno di Don Camillo,Giovannino Guareschi,4.38,134,9,67,51,16,0,0
"West from Home: Letters of Laura Ingalls Wilder, San Francisco, 1915",Laura Ingalls Wilder,3.85,"4,534",188,"1,434","1,429","1,301",292,78
A Midsummer Tempest,Poul Anderson,3.54,718,73,138,240,234,83,23
A Crónica de Travnik,Ivo Andrić,4.26,"2,077",166,998,708,299,54,18
The Origins of Life: From the Birth of Life to the Origin of Language,John Maynard Smith,4.12,249,20,101,89,49,7,3
How Many Miles to Babylon?,Jennifer Johnston,3.59,"1,839",155,377,658,532,208,64
დიონისოს ღიმილი,Konstantine Gamsakhurdia,4.32,192,18,108,48,28,5,3
The Actual,Saul Bellow,3.25,"1,541",174,147,470,615,246,63
Tea and Sympathy,Robert Woodruff Anderson,3.82,450,44,115,170,141,19,5
Rush Limbaugh Is a Big Fat Idiot: And Other Observations,Al Franken,3.90,"9,211",284,"2,989","3,420","2,012",460,330
August 1914,Aleksandr Solzhenitsyn,3.93,"2,566",187,811,"1,007",555,150,43
Forrest Gump,Winston Groom,4.03,"65,761","2,934","28,167","19,928","11,442","4,184","2,040"
Guide,Dennis Cooper,4.01,816,61,303,298,154,46,15
Best Of Ruskin Bond,Ruskin Bond,4.28,"2,887",108,"1,442",993,327,72,53
Λωξάντρα,Maria Iordanidou,4.13,"1,775",106,739,631,314,74,17
The Mosquito Coast,Paul Theroux,3.82,"11,938",908,"2,985","4,974","2,995",755,229
The Bicentennial Man and Other Stories,Isaac Asimov,4.13,"13,697",504,"5,147","5,584","2,566",352,48
The Children's Hour,Lillian Hellman,3.96,"14,224",280,"5,123","4,996","2,903",760,442
Flying Fury: Five Years in the Royal Flying Corps,James McCudden,4.32,631,33,333,198,78,16,6
Moonraker,Ian Fleming,3.78,"25,422","1,626","5,690","10,320","7,809","1,395",208
"His Toy, His Dream, His Rest: 308 Dream Songs",John Berryman,4.36,66,3,37,18,9,2,0
A Rose for Emily,William Faulkner,3.85,"9,028",696,"2,577","3,393","2,312",590,156
A Hunger Artist,Franz Kafka,4.11,"15,968",823,"6,267","6,073","2,888",589,151
Call for the Dead,John le Carré,3.85,"33,689","2,294","7,682","15,116","9,314","1,267",310
The Gods of Mars,Edgar Rice Burroughs,3.88,"18,387",999,"5,087","7,213","5,022",875,190
"Nausicaä of the Valley of the Wind, Vol. 6",Hayao Miyazaki,4.60,"2,427",55,"1,635",634,139,18,1
The Sniper,Liam O'Flaherty,3.71,"1,082",108,277,390,280,97,38
Put Out the Fires,Maureen Lee,4.36,623,35,344,186,73,12,8
Patrimony,Philip Roth,4.20,"4,848",447,"1,960","2,026",734,106,22
Among the Hidden,Margaret Peterson Haddix,3.99,"120,866","6,758","43,854","42,284","26,414","6,289","2,025"
The Proletarian Revolution and the Renegade Kautsky,Vladimir Lenin,4.07,316,25,145,88,56,14,13
Probability Theory: The Logic of Science,E.T. Jaynes,4.40,603,23,362,149,69,16,7
The Years,Virginia Woolf,3.76,"5,211",482,"1,265","2,028","1,444",376,98
El Hereje,Miguel Delibes,3.93,"2,893",266,890,"1,194",582,165,62
The Art Book,Phaidon Press,3.86,"152,312",339,"61,296","39,831","29,627","10,935","10,623"
The Life and Extraordinary Adventures of Private Ivan Chonkin,Vladimir Voinovich,4.00,"2,433",110,893,883,477,130,50
Two Serious Ladies,Jane Bowles,3.61,"3,451",451,854,"1,098",956,401,142
The Spell of the Sensuous: Perception and Language in a More-Than-Human World,David Abram,4.14,"4,636",408,"2,282","1,360",564,240,190
New Essays In Philosophical Theology,Antony Flew,3.57,14,2,2,7,3,1,1
The Copper Beech,Maeve Binchy,3.93,"22,490",629,"6,607","8,712","6,203",818,150
One Corpse Too Many,Ellis Peters,4.08,"15,252",906,"5,152","6,643","3,029",330,98
Notes from the Hyena's Belly: An Ethiopian Boyhood,Nega Mezlekia,3.88,814,94,223,335,203,44,9
Mickey Mouse's Picnic,Jane Werner Watson,4.37,"1,374",18,866,228,211,55,14
Boys' Sherlock Holmes,Arthur Conan Doyle,4.55,22,2,15,4,3,0,0
Seeing Beyond Depression,Jean Vanier,4.17,109,12,55,27,20,5,2
The Valley of Fear,Arthur Conan Doyle,3.97,"43,167","2,568","13,574","17,122","10,315","1,777",379
Täällä Pohjantähden alla 1–3,Väinö Linna,4.54,"1,886",67,"1,235",470,147,27,7
La Confusion des sentiments,Stefan Zweig,4.02,"8,592",872,"3,085","3,277","1,690",385,155
Paddington Takes to TV,Michael Bond,3.91,183,11,62,62,41,17,1
Humboldt's Gift,Saul Bellow,3.85,"9,072",683,"2,709","3,394","2,105",640,224
Los hijos del Grial,Peter Berling,3.50,462,32,97,158,118,56,33
Piercing the Darkness,Frank E. Peretti,4.32,"60,795",827,"33,499","16,828","7,679","1,827",962
Dying for Chocolate,Diane Mott Davidson,3.80,"11,875",621,"2,824","4,614","3,777",552,108
The Orchard Keeper,Cormac McCarthy,3.54,"9,503",811,"1,536","3,435","3,393",939,200
